N¼,Nombre,Total,Por mil (ä)
463,ANDREA PAOLA,42,"0,261"
464,ASTRID CAROLINA,42,"0,261"
465,DIANA VANESSA,42,"0,261"
466,JENNY ALEXANDRA,42,"0,261"
467,MARIA ANDREA,42,"0,261"
468,MARIA YANETH,42,"0,261"
469,MONICA VIVIANA,42,"0,261"
470,ANGELA MARCELA,41,"0,255"
471,GLORIA YANETH,41,"0,255"
472,LAURA MELISSA,41,"0,255"
473,LEIDY ALEJANDRA,41,"0,255"
474,LUZMILA,41,"0,255"
475,MARIA OFELIA,41,"0,255"
476,MARIA OLIVA,41,"0,255"
477,SARAH,41,"0,255"
478,ANA ROSA,40,"0,248"
479,CLAUDIA ELENA,40,"0,248"
480,KELLY TATIANA,40,"0,248"
481,LAURA VICTORIA,40,"0,248"
482,MARIA EDILMA,40,"0,248"
483,MARIA MAGDALENA,40,"0,248"
484,MELANIE,40,"0,248"
485,SARA MARIA,40,"0,248"
486,VIOLETA,40,"0,248"
487,YULIETH,40,"0,248"
488,ALBA ROCIO,39,"0,242"
489,ANA VICTORIA,39,"0,242"
490,CARMEN ALICIA,39,"0,242"
491,CARMEN EMILIA,39,"0,242"
492,DANNA VALENTINA,39,"0,242"
493,EMMA,39,"0,242"
494,KIMBERLY,39,"0,242"
495,LEYDI JOHANNA,39,"0,242"
496,MARIA OLGA,39,"0,242"
497,MIA,39,"0,242"
498,RUBY,39,"0,242"
499,ANTONIA,38,"0,236"
500,BETTY,38,"0,236"
501,ERIKA JOHANA,38,"0,236"
502,INGRID,38,"0,236"
503,JENNY ANDREA,38,"0,236"
504,LILIA,38,"0,236"
505,LUZ MILA,38,"0,236"
506,MARIA LUZ,38,"0,236"
507,MARIA NUBIA,38,"0,236"
508,YENNY PAOLA,38,"0,236"
509,ALLISON,37,"0,230"
510,ANGIE MARCELA,37,"0,230"
511,ELIANA PATRICIA,37,"0,230"
512,KAREN VIVIANA,37,"0,230"
513,LEIDY YOHANA,37,"0,230"
514,MARIA GABRIELA,37,"0,230"
515,NOHEMY,37,"0,230"
516,SANDRA ISABEL,37,"0,230"
517,TANIA,37,"0,230"
518,VIVIANA MARIA,37,"0,230"
519,YAQUELINE,37,"0,230"
520,ADELAIDA,36,"0,224"
521,DORA INES,36,"0,224"
522,JENNY MARCELA,36,"0,224"
523,JUDITH,36,"0,224"
524,LAURA XIMENA,36,"0,224"
525,LEIDY DIANA,36,"0,224"
526,MARIA EDITH,36,"0,224"
527,MARIA XIMENA,36,"0,224"
528,MARILYN,36,"0,224"
529,MARTHA INES,36,"0,224"
530,MONICA MARCELA,36,"0,224"
531,SANDRA CAROLINA,36,"0,224"
532,TATIANA ANDREA,36,"0,224"
533,YAZMIN,36,"0,224"
534,YESICA ALEJANDRA,36,"0,224"
535,AITANA,35,"0,217"
536,INGRID LORENA,35,"0,217"
537,IRMA,35,"0,217"
538,JENNIFER ANDREA,35,"0,217"
539,JESSICA TATIANA,35,"0,217"
540,LAURA PATRICIA,35,"0,217"
541,LUZ PIEDAD,35,"0,217"
542,MARIA RUTH,35,"0,217"
543,MARYURY,35,"0,217"
544,MERY,35,"0,217"
545,YESSICA ALEJANDRA,35,"0,217"
546,ANA JULIA,34,"0,211"
547,ANGIE NATALIA,34,"0,211"
548,AURORA,34,"0,211"
549,BLANCA INES,34,"0,211"
550,CLAUDIA FERNANDA,34,"0,211"
551,CLAUDIA VIVIANA,34,"0,211"
552,DEISY,34,"0,211"
553,GLORIA LILIANA,34,"0,211"
554,INGRID VANESSA,34,"0,211"
555,JOHANNA MARCELA,34,"0,211"
556,KAREN SOFIA,34,"0,211"
557,LEIDY KATHERINE,34,"0,211"
558,MARIA DOLORES,34,"0,211"
559,MARIA FABIOLA,34,"0,211"
560,MELISA,34,"0,211"
561,PIEDAD,34,"0,211"
562,ROSA,34,"0,211"
563,SILVIA JULIANA,34,"0,211"
564,VANESA,34,"0,211"
565,YURI ANDREA,34,"0,211"
566,AMALIA,33,"0,205"
567,ANGIE JULIETH,33,"0,205"
568,BLANCA LILIA,33,"0,205"
569,EDELMIRA,33,"0,205"
570,ERIKA MARCELA,33,"0,205"
571,ESNEDA,33,"0,205"
572,ESTHER JULIA,33,"0,205"
573,FRANCY,33,"0,205"
574,JENNIFFER,33,"0,205"
575,KAREN ALEJANDRA,33,"0,205"
576,KAROL VANESSA,33,"0,205"
577,LAURA TATIANA,33,"0,205"
578,LUZ ENITH,33,"0,205"
